Id,Project,SATD comment,On-hold or not
1471,Hadoop project,// TODO: should || all the bp actors probably?,no
1472,Camel project,// TODO: Should aggregate on the fly as well,no
1473,Camel project,// TODO: should also work with default error handler when // stream cache is enabled as well,no
1474,Camel project,"// TODO: Should also work with DLC // errorHandler(deadLetterChannel(""mock:dead"").disableRedelivery());",no
1475,Camel project,"// TODO: Should also work with DLC // will be possible when we remove the AsyncProcessor so the processing logic // is much easier to deal with // errorHandler(deadLetterChannel(""mock:dead"").disableRedelivery());",yes
1476,Camel project,"// TODO: should be ""file"" when its ready",no
1477,Camel project,// TODO: should be async,no
1478,Camel project,// TODO: should be base path and a lot more,no
1479,Camel project,// TODO: Should be suppored by NewFile,no
1480,Camel project,// TODO: Should be TRACE,no
1481,Camel project,"// TODO: should fail // fail(""Should throw an exception"");",no
1482,Tomcat project,// TODO: should have a separate method for switching to tls later.,no
1483,Camel project,// TODO: Should leverage AsyncProcessor,no
1484,Camel project,// TODO: Should leverage AsyncProcessor,no
1485,Tomcat project,// TODO: Should never be received by a server,no
1486,Camel project,// TODO: Should not be a Definition as its a builder for Java DSL instead.,no
1487,Camel project,// TODO: should not start debugger as its old-schoold tracer depedent //debugger.start();,no
1488,Camel project,// TODO: should not use that,no
1489,Hadoop project,// TODO: should other requests check the _exact_ epoch instead of // the <= check? <= should probably only be necessary for the // first calls,no
1490,Camel project,// TODO: should support async routing engine,no
1491,Camel project,// TODO: should support async routing engine,no
1492,Camel project,// TODO: should support async routing engine,no
1493,Camel project,// TODO: Should support async routing engine,no
1494,Camel project,// TODO: Should support async routing engine // we may need the same bridge as we do with InterceptStrategy in DefaultChannel,no
1495,Tomcat project,// TODO: Should the createWebResourceSet() methods be removed to some // utility class for fiel system based resource sets?,no
1496,Hadoop project,// TODO: Should this instead be dictated by RM?,no
1497,Hadoop project,// TODO: Should this instead be dictated by RM?,no
1498,Tomcat project,// TODO: should this use the JarFactory abstraction?,no
1499,Hadoop project,// TODO: should use createParents to control intermediate dir creation,no
1500,Tomcat project,// todo: should we init each of them ?,no
1501,Camel project,// TODO: Should we not have better exception for this?,no
1502,Camel project,// TODO: should we not thrown an exception to not allow it to startup,no
1503,Camel project,// TODO: should we not thrown an exception to not allow it to startup,no
1504,Camel project,// TODO: should we not thrown an exception to not allow it to startup,no
1505,Camel project,// TODO: should we not thrown an excpetion to not allow it to startup,no
1506,Camel project,// TODO: should we not thrown an excpetion to not allow it to startup,no
1507,Camel project,// TODO: Should we not unsubscribe first?,no
1508,Tomcat project,// TODO: should we remove it ? It needs to be re-activated // later. //??,no
1509,Camel project,// TODO: Should we support multiple single steps?,no
1510,Camel project,// TODO: should we support not starting rest?,no
1511,Camel project,// TODO: should we throw an exception instead?,no
1512,Camel project,// TODO: shutdownRunningTask should be implemented in various consumers,no
1513,Camel project,// TODO: simple is @deprecated and should be removed in Camel 2.7 when we upgrade to Spring 3,yes
1514,Tomcat project,"// TODO: simpler API ( 'allowSpdy', etc ) - after negotiation is impl",yes
1515,Tomcat project,"// TODO: simplify, use readLine()",no
1516,Tomcat project,// TODO: size missmatches ?,no
1517,Hadoop project,// TODO: some check on serial number that they only increase from a given // client,no
1518,Tomcat project,// TODO: Something went wrong. Log an error.,no
1519,Tomcat project,"// TODO: spdy uses full URL, we may want to trim // also no host header",no
1520,Camel project,"// TODO: special error handler, where we have a local error handler with onlly the catch definitions",no
1521,Camel project,// TODO: split desc in multi lines so it does not overflow,no
1522,Camel project,// TODO: Split into multiple files so it doesnt take 3 min to run,no
1523,Camel project,// TODO: spring javaconfig is being removed in Camel 3.0,yes
1524,Tomcat project,// TODO: SSL really needs a thread.,no
1525,Camel project,// TODO: Stream is not supported,no
1526,Gerrit project,// TODO: Support arbitrary labels,no
1527,Gerrit project,// TODO: support arbitrary labels.,no
1528,Gerrit project,// TODO: Support arbitrary labels.,no
1529,Gerrit project,// TODO: Support arbitrary labels.,no
1530,Camel project,// TODO: Support async routing engine,no
1531,Camel project,// TODO: support async routing engine,no
1532,Camel project,// TODO: Support lookup endpoint by ref (requires a bit more work),no
1533,Camel project,"// TODO: Support lookup endpoint by ref (requires a bit more work) // TODO: Support wildcards for endpoints so you can match by scheme, eg jms:*",no
1534,Camel project,// TODO: support matchOnUriPrefix,no
1535,Camel project,// TODO: support on consumer // - bridgeEndpoint // - matchOnUriPrefix // - urlrewrite,no
1536,Camel project,// TODO: support on consumer // - bridgeEndpoint // - matchOnUriPrefix // - urlrewrite // - various CamelHttpUri headers with details about the url in use,no
1537,Camel project,// TODO: support on consumer // - urlrewrite,no
1538,Camel project,// TODO: support on consumer // - validate routes on same port cannot have different SSL etc // - bridgeEndpoint // - matchOnUriPrefix // - urlrewrite,no
1539,Camel project,// TODO: support on consumer // - validate routes on same port cannot have different SSL etc // - bridgeEndpoint // - urlrewrite,no
1540,Camel project,// TODO: support on consumer // - validate routes on same port cannot have different SSL etc // - urlrewrite,no
1541,Camel project,"// TODO: support onException being able to use other onException to route they exceptions // (hard one to get working, has not been supported before)",no
1542,Tomcat project,// TODO: support real uri ( http://host/path ) // Validate the format of the specified argument,no
1543,Tomcat project,// TODO: support real uri ( http://host/path ) // Validate the format of the specified argument,no
1544,Tomcat project,// TODO: support reload,no
1545,Tomcat project,// TODO: support reload,no
1546,Camel project,// TODO: support stop later (its a bit hard as it needs to break entire processing of route),no
1547,Camel project,// TODO: support stop later (its a bit hard as it needs to break entire processing of route) // TODO: add support for when predicate,no
1548,Camel project,// TODO: support that bridge option // TODO: more unit tests,no
1549,Camel project,// TODO: support when with CAMEL-5977,yes
1550,Tomcat project,// TODO: suspendAccept(boolean),no
1551,Hadoop project,// TODO: synchronization should be a little better here,no
1552,Tomcat project,// TODO: Temp code until config refactoring is complete. Remove once // refactoring is complete.,yes
1553,Tomcat project,// TODO: Test that set reserved bit is ignored.,no
1554,Tomcat project,// TODO: Tests for over-sized frames. Better located in tests for section 6?,no
1555,Tomcat project,// TODO: Tests for unexpected flags. Better located in tests for section 6?,no
1556,Tomcat project,// TODO: Tests for unexpected flags. Better located in tests for section 6?,no
1557,Tomcat project,"// TODO: the ""oldchain"" and ""newchain"" is used to determine the subroutine // we're in (by searching for the last JSR) by the InstructionContext // implementation. Therefore, we should not use this chain mechanism // when dealing with exception handlers. // Example: a JSR with an exception handler as its successor does not // mean we're in a subroutine if we go to the exception handler. // We should address this problem later; by now we simply ""cut"" the chain // by using an empty chain for the exception handlers.",no
1558,Camel project,// TODO: The async destroy code does not work well see https://issues.apache.org/jira/browse/CAMEL-4309 // getEndpoint().destroyMessageListenerContainer(listenerContainer);,no
1559,Camel project,"// TODO: The async destroy code does not work well, there is a JIRA ticket // getEndpoint().destroyMessageListenerContainer(listenerContainer);",no
1560,Camel project,// TODO: The code in this class will be much easier when the AsyncProcessor is removed,yes
1561,Camel project,// TODO: The delay is in some cases never triggered - see CAMEL-663,no
1562,Tomcat project,// TODO: the even more brain-damaged ServletContextInitializer and,no
1563,Camel project,// TODO: the exceptions list should use classresolver to load,no
1564,Camel project,// TODO: The max wait response should be configurable,no
1565,Camel project,// TODO: The max wait response should be configurable // The URI parameter could be a option,no
1566,Tomcat project,// TODO: The maximum allowed in a settings frame as 2^32 (unsigned) // Use the maximum possible,no
1567,Camel project,// TODO: The setter should be a plain setter. // this logic should be moved to // org.apache.camel.model.rest.RestDefinition.asRouteDefinition(),no
1568,Camel project,// TODO: the while loop method should be refactored a bit so its more higher level so the // code is easier to read and understand,no
1569,Camel project,"// TODO: There could potential be routeId clash as well, so we should check for that as well",no
1570,Hadoop project,// TODO: there is a really narrow race here if we are just // about to start a checkpoint - this won't cancel it!,no
1571,Tomcat project,// TODO: There may be other headers.,no
1572,Tomcat project,// TODO: There may be other headers.,no
1573,Camel project,// TODO: There must be a better way than depend on spring for registering a servlet into OSGi!,no
1574,Tomcat project,// TODO: These are static because I'm not sure how to inject them to the // endpoint,no
1575,Camel project,// TODO: These causes problems if we null them in concurrency environments //staticQueryContext = null; //configuration = null;,no
1576,Hadoop project,"// TODO: these lines spew lots of warnings about ""already stopped"" logs, etc",no
1577,Camel project,// TODO: these options should be on StreamCachingStrategy,no
1578,Camel project,"// TODO: this badly needs some refactoring // mojo.createClassLoader creates a URLClassLoader with whatever is // in // ${project.testClasspathElements}, reason why we don't see all // converters // in the report. First we need a list of classpath elements the // user // could customize via plugin configuration, and elements of that // list // be added to the URLClassLoader. This should also be factored out // into // a utility class. // TODO: there is some interference with the site plugin that needs // investigated.",no
1579,Tomcat project,"// TODO: This can only be checked using Staerk-et-al's ""set of object types"", not // using a ""wider cast object type"".",no
1580,Tomcat project,"// TODO: This can possibly only be checked using Staerk-et-al's ""set-of-object types"", not // using ""wider cast object types"" created during verification. // Comment it out if you encounter problems. See also the analogon at visitPUTFIELD.",no
1581,Tomcat project,"// TODO: This can possibly only be checked using Staerk-et-al's ""set-of-object types"", not // using ""wider cast object types"" created during verification. // Comment it out if you encounter problems. See also the analogon at visitPUTSTATIC.",no
1582,Tomcat project,"// TODO: This can possibly only be checked when using Staerk-et-al's ""set of object types"" instead // of a single ""wider cast object type"" created during verification.",no
1583,Tomcat project,"// TODO: This check can possibly only be done using Staerk-et-al's ""set of object types"" // instead of a ""wider cast object type"" created during verification.",no
1584,Tomcat project,"// TODO: This class could either extend ByteBuffer, or better a ByteBuffer inside",no
1585,Camel project,// TODO: This class is not used,no
1586,Camel project,// TODO: This class should extends ServiceSupport so we can cleanup recipientList when stopping,no
1587,Camel project,// TODO: This code can be nicer,no
1588,Camel project,// TODO: This code could be neater,no
1589,Camel project,"// TODO: This code needs an overhaul. It should *really* not change the route model, // only register mbeans with the performance counters",no
1590,Camel project,"// TODO: This code should be looked at, the parent stuff is might not needed",no
1591,Camel project,"// TODO: This does not look correct with the code below, why are the so few jaxb packages?",no
1592,Camel project,// TODO: this exception should not be there // ignore,no
1593,Camel project,// TODO: this executor should also be shutdown when CamelContext stops,no
1594,Hadoop project,// TODO: this failed once because it caught a ckpt file -- maybe // this is possible if one of the NNs is really fast and the other is slow? // need to loop this to suss out the race.,no
1595,Camel project,// TODO: This interface method names are not 100% settled yet // some methods should many be moved to DefaultChannel only as they are more used for testing purpose // and we should add methods to traverse the channels // and maybe a channel registry,no
1596,Camel project,"// TODO: This is a little wasteful as dozer has already parsed this // information, if does not expose it though so it must be done again. // Create a patch for Dozer to expose this.",no
1597,Hadoop project,"// TODO: this is a pretty inconsistent way to output the path...!! // but, it's backwards compatible",no
1598,Hadoop project,// TODO: this is a quick workaround to accelerate the integration of // redesigned commands. this will be removed this once all commands are // converted. this change will avoid having to change the hdfs tests // every time a command is converted to use path-based exceptions,yes
1599,Tomcat project,// TODO: This is almost certainly wrong and needs to be decoded,no
1600,Tomcat project,"// TODO: This is buggy, we check only the top-level return instructions this way. Maybe some maniac returns from a method when in a subroutine?",no
1601,Tomcat project,"// TODO: this is from coyote - MUST be rewritten !!! // - cleaner // - chunked encoding for body // - buffer should be in a pool, etc.",no
1602,Tomcat project,// TODO: This is incomplete,no
1603,Camel project,"// TODO: This is not a nice unit test. Please do not do like this. Big, confusing and takes long time to run",no
1604,Gerrit project,"// TODO: This is not optimal, but shouldn't be too costly in most cases. // Maybe rewrite after done keeping track of diff chunk positions.",no
1605,Gerrit project,"// TODO: This is not optimal, but shouldn't be too costly in most cases. // Maybe rewrite after done keeping track of diff chunk positions.",no
1606,Hadoop project,// TODO: this is slow to validate when in non-recovery cases // we already know the length here!,no
1607,Hadoop project,"// TODO: This isn't the best place, but this class is being abused with // subclasses which of course override this method. There really needs // to be a better base class for all commands",no
1608,Camel project,// TODO: This logic can be in internal processor,no
1609,Camel project,// TODO: this logic should be in component class // TODO: all the options in the endpoint should be getter/setter so you can configure them as plain Java,no
1610,Camel project,// TODO: This method is longer than maximally allowed 200 lines // CHECKSTYLE:OFF,no
1611,Camel project,"// TODO: This method is no longer needed, and we can avoid using it",no
1612,Camel project,// TODO: This method is not used,no
1613,Camel project,// TODO: This method is not used,no
1614,Log4j project,// TODO: this method should be removed if OptionConverter becomes a static,yes
1615,Log4j project,// TODO: this method should be removed if OptionConverter becomes totally static,no
1616,Camel project,// TODO: this method should probably be more strict and validate (CAMEL-2195),yes
1617,Tomcat project,// TODO: This might not be unique,no
1618,Tomcat project,// TODO: This needs to be expandable to the header buffer size,no
1619,Hadoop project,// TODO: This needs to move to per-AppAttempt,no
1620,Camel project,// TODO: this operation is currently not supported by hazelcast,no
1621,Hadoop project,// TODO: this really should be a -nl option,no
1622,Hadoop project,// TODO: this really should be a -nl option,no
1623,Camel project,// TODO: This should be a task as well // and wrap it by a instrumentation processor that is to be used for performance stats // for this particular route,no
1624,Hadoop project,"// TODO: this should be more posix-like: ex. ""No such file or directory""",no
1625,Hadoop project,// TODO: This should be part of something like yarn-client.,no
1626,Camel project,"// TODO: This should be refactored, to unit test the MyRoutes from the src/main/java",no
1627,Camel project,"// TODO: This should be refactored, to unit test the MyRoutes from the src/main/java",no
1628,Hadoop project,// TODO: this should go away.,no
1629,Camel project,"// TODO: This should probably happen, but hitting an open transaction or flush in progress. // Is there a thread holding onto it? // entityManager.close();",no
1630,Tomcat project,// TODO: This state may end up being removed and replaced by the stream // being removed from the map in the upgrade handler.,no
1631,Hadoop project,"// TODO: this will end up in some kind of tight loop, // won't it? We need some kind of backoff",no
1632,Tomcat project,// TODO: Thread safe? Do this in output buffer?,no
1633,Camel project,// TODO: trace interceptor can be a task on internalProcessor,no
1634,Tomcat project,// TODO: try release buffers,no
1635,Tomcat project,"// TODO: turn http request into a coyote request - copy all fields, // add hooks where needed.",no
1636,Camel project,// TODO: type convert to method signature,no
1637,Tomcat project,// TODO: unix domain socket impl. // Maybe: detect new files in the filesystem ?,no
1638,Tomcat project,// TODO: update method names,no
1639,Tomcat project,// TODO: Update pushPath for client's benefit // TODO: Figure out how to get this into the CoyoteRequest,no
1640,Camel project,// TODO: upgrade to Spring 3 // if we are on a new enough spring version we can assume CACHE_CONSUMER,yes
1641,Camel project,// TODO: Use a buffer to write faster instead of looping one char at a time,no
1642,Hadoop project,// TODO: Use a resource to work around bugs. Today NM doesn't create local // app-dirs if there are no file to download!!,no
1643,Hadoop project,// TODO: Use a resource to work around bugs. Today NM doesn't create local // app-dirs if there are no file to download!!,no
1644,Camel project,// TODO: use another status header,no
1645,Camel project,// TODO: use api so we can get hold of session,no
1646,Gerrit project,// TODO: use category.getLabel() when available,yes
1647,Tomcat project,"// TODO: use CBuffer, recycle",no
1648,Tomcat project,// TODO: use different thread ?,no
1649,Tomcat project,// TODO: use extension to find the right UserTemplateClassMapper.,no
1650,Tomcat project,// TODO: use future !,no
1651,Tomcat project,// TODO: use it for utf-8,no
1652,Camel project,// TODO: Use JDK CompletionService to get rid of the AsyncProcessor/AsyncCallback,no
1653,Tomcat project,// TODO: use JMX/DynamicObject to get all public info,no
1654,Camel project,// TODO: Use ObjectHelper.loadClass instead,no
1655,Hadoop project,// TODO: Use secure IO Utils to avoid symlink attacks. //TODO Fix findBugs close warning along with IOUtils change,no
1656,Camel project,// TODO: use some template like velocity or freemarker,no
1657,Camel project,// TODO: Use something that marks it as async routed,no
1658,Camel project,// TODO: Use spring mail support to add the attachment,no
1659,Camel project,// TODO: Use the AsyncCallback API (CAMEL-2723),yes
1660,Tomcat project,// TODO: use the cache...,no
1661,Tomcat project,// TODO: use the cache...,no
1662,Tomcat project,// TODO: Use this,no
1663,Camel project,// TODO: use zipfile as name in Camel 3.0,no
1664,Tomcat project,// TODO: Value also needs validation that varies depending on the spec // being used. This is currently delayed until the header is // generated.,no
1665,Camel project,// TODO: verb should be an enum,no
1666,Camel project,"// TODO: verbose logging from Mina should use our logger instead of MINA INFO logger //acceptorConfig.getFilterChain().addLast(""logger"", new LoggingFilter());",no
1667,Camel project,"// TODO: verbose logging from Mina should use our logger instead of MINA INFO logger //connectorConfig.getFilterChain().addLast(""logger"", new LoggingFilter());",no
1668,Tomcat project,"// TODO: we could override all methods and // return recyclable cookies, if we really wanted",no
1669,Hadoop project,"// TODO: we could use removeLease(holder, path) here, but OP_CLOSE // doesn't seem to serialize the holder... unclear why!",no
1670,Camel project,"// TODO: We do not need to have DefaultChannel wrapped in the routes, but can just rely on CamelInternalProcessor",no
1671,Camel project,"// TODO: we do not yet have the classname of nested types // assertTrue(json.contains(""\""format\"" : \""org.apache.camel.swagger.LineItem\""""));",no
1672,Tomcat project,"// TODO: we may initiate multiple SPDY connections with each server // Sending frames is synchronized, receiving is muxed",no
1673,Camel project,// TODO: we may want to use a filter so we can reuse this for camel-servlet // to have it match the request with list of accepted paths,no
1674,Camel project,// TODO: We need a better solution to traverse a route than using reflection,no
1675,Camel project,// TODO: we need to have the uri of the http server we called,no
1676,Camel project,// TODO: We need to inject bean post processors // but we need to camelContext id its referred from,no
1677,Camel project,// TODO: we need to install some ignite stuff first (see the info of camel feature),no
1678,Camel project,// TODO: We shall keep this with the GenericFileXX to support FileLock for java.io.File,no
1679,Camel project,// TODO: We shall keep this with the GenericFileXX to support FileLock for java.io.File,no
1680,Camel project,// TODO: We should also consider processors which are not services then we can manage all processors as well // otherwise its only the processors which is a Service,no
1681,Camel project,// TODO: We should consider using newCopy(true) as the async() DSL,no
1682,Hadoop project,// TODO: We should do away with this add-then-replace dance.,no
1683,Hadoop project,// TODO: We should first fix the files that lose more blocks,no
1684,Camel project,"// TODO: We should get this late reply to work //assertEquals(""Late Reply"", out.getOut().getBody());",no
1685,Camel project,"// TODO: We should have NoSuchBodyException to be consistent with NoSuchHeaderException // TODO: We should remove this class in Camel 3.0, and just rely on the other exceptions for type conversion issues",yes
1686,Camel project,// TODO: we should implement this using a polling http client.,no
1687,Camel project,// TODO: we should likely use the description from the json files as-is,no
1688,Camel project,// TODO: We should look into what we can do to introduce back Jetty Continuations // and it should be documented how it works and to be used // and end users should be able to decide if they want to leverage it or not,no
1689,Camel project,// TODO: We should not swallow this but handle it better. See CAMEL-501,yes
1690,Camel project,"// TODO: we should only expect 1 message, but seda queues can sometimes send multiple",no
1691,Camel project,// TODO: we should probably catch evaluate/convert exception an set is as fault (after fix for CAMEL-316),yes
1692,Camel project,"// TODO: we should re-create route defs on start, people should use suspend/resume for hot restart",no
1693,Hadoop project,// TODO: we should really just ask for a log roll here,no
1694,Camel project,// TODO: we would ideally want this to be abstract and not in the XML DSL,no
1695,Hadoop project,// TODO: Weird setup.,no
1696,Hadoop project,// TODO: Weird. This is part of AM command line. Instead it should be a env.,no
1697,Camel project,// TODO: what do do if we are getting processing errors from camel? Shutdown?,no
1698,Camel project,// TODO: what do do if we are getting processing errors from camel? Shutdown?,no
1699,Hadoop project,// TODO: What if null,no
1700,Camel project,// TODO: What is this form used for? Doesnt make sence in the code below as form is never used,no
1701,Camel project,// TODO: what should we do when a processing failure occurs??,no
1702,Camel project,// TODO: what should we do when a processing failure occurs??,no
1703,Camel project,// TODO: When async jms consumer is implemented we can bump this value to 1000,yes
1704,Camel project,// TODO: when JDK7 we should setRemoveOnCancelPolicy(true),yes
1705,Hadoop project,"// TODO: when modification times can be set, directories should be // emitted to reducers so they might be preserved. Also, mkdirs does // not currently return an error when the directory already exists; // if this changes, all directory work might as well be done in reduce",no
1706,Camel project,// TODO: Why do we change protocol from smtp to pop3?,no
1707,Camel project,// TODO: why do we grab the default servlet?,no
1708,Camel project,// TODO: why do we have endpoint cache as camel context also have endpoint cache?,no
1709,Tomcat project,// ToDo: Why doesn't remove repositories?,no
1710,Camel project,// TODO: why is the parameter a xxType object? Isn't this wrong?,no
1711,Hadoop project,// TODO: Why is this event going directly to the container. Why not // the resource itself? What happens to the resource? Is it removed?,no
1712,Camel project,// TODO: Why is this method deprecated?,no
1713,Camel project,// TODO: Why limit to what the JDK property editor can set?,no
1714,Camel project,// TODO: Why must the found property be convertable to String?,no
1715,Camel project,"// TODO: Why not use indexOf and substr to find first delimiter, to skip first elemeent",no
1716,Hadoop project,// TODO: Why thread local? // ^ NumberFormat instances are not threadsafe,no
1717,Hadoop project,// TODO: Why thread local? // ^ NumberFormat instances are not threadsafe,no
1718,Hadoop project,// TODO: will change with factory,no
1719,Camel project,// TODO: Wonder if we can use take instead of poll with timeout?,no
1720,Camel project,// TODO: Wonder if we can use take instead of poll with timeout?,no
1721,Camel project,// TODO: work in progress,no
1722,Gerrit project,// TODO: Work on a better way for customizing keybindings.,no
1723,Camel project,// TODO: workaround for CXF-2503,yes
1724,Camel project,// TODO: workaround for source check failure in the afterPropertiesSet() method: // Executable statement count is 101 (max allowed is 100),no
1725,Tomcat project,// TODO: write/read should go to SocketWrapper.,no
1726,Camel project,// TODO: XmlElementRef to the abstrac class HeaderType does not work (CAMEL-583) //@XmlElementRef(type = HeaderType.class),yes
1727,Camel project,// TODO: XmlElementRef to the abstract class HeaderType does not work (CAMEL-583) //@XmlElementRef(type = HeaderType.class),yes
1728,Gerrit project,"// TODO(davido): Clean this up by returning 404 when edit doesn't exist. // Client should call GET /changes/{id}/revisions/current/commit in this // case; or, to be consistent with GET content logic, the client could // call directly the right endpoint.",no
1729,Gerrit project,// TODO(dborowitz): Reformat these messages to be more appropriate for // short problem descriptions.,no
1730,Gerrit project,// TODO(dborowitz): Remove; this is dead code anyway.,no
1731,Gerrit project,// TODO(dborowitz): Use PatchSetUtil; requires additional refactoring as we // just turn around and get the change at the caller. // Try parsing base as a change number (assume current patch set).,no
1732,Hadoop project,// TODO(HA) is this right?,no
1733,Hadoop project,// TODO(HA): What should we do in this case? Shutdown the standby NN?,no
1734,Gerrit project,// TODO(sbeller): why do we need to treat followup specially here?,no
1735,Hadoop project,// ToFix - fix server to use the following two metrics directly so // the metrics do not have be copied here.,no
1736,Hadoop project,// Transitions from RESTARTING state // TODO - no way to get to RESTARTING state right now,no
1737,Hadoop project,"// Trigger each of the DNs to scan this block immediately. // The block pool scanner doesn't run frequently enough on its own // to notice these, and due to HDFS-1371, the client won't report // bad blocks to the NN when all replicas are bad.",no
1738,Hadoop project,"// Trigger each of the DNs to scan this block immediately. // The block pool scanner doesn't run frequently enough on its own // to notice these, and due to HDFS-1371, the client won't report // bad blocks to the NN when all replicas are bad.",no
1739,Gerrit project,// Ugly workaround because CodeMirror never hides lines completely.,no
1740,Gerrit project,// Unpack the one argument. This should also be a structure with one // argument per label that needs to be reported on to the caller. //,no
1741,Tomcat project,// Unquoted ETag - shouldn't happen - TODO complain,no
1742,Tomcat project,// Unquoted ETag - shouldn't happen - TODO complain,no
1743,Tomcat project,// Unused access flags // name index // signature index,no
1744,Tomcat project,// Unused class index // Unused method index,no
1745,Tomcat project,// Unused class index // Unused name and type index,no
1746,Tomcat project,// Unused due to buggy client implementations,no
1747,Tomcat project,// Unused name index // Unused signature index,no
1748,Camel project,"// use a cached pool as DefaultMessageListenerContainer will throttle pool sizing // TODO: The refactored ExecutorServiceManager was not good, now we dont have the JDK API anymore // we need the CachedThreadPool here, but the refactored API does not offer that anymore",no
1749,Camel project,// use a generated filename if no name provided // TODO: Consider to require end user to always provide a filename instead of generating a new name,no
1750,Tomcat project,// Version 1 (RFC2965) attributes // TODO Add support for CommentURL // Discard - implied by maxAge <0 // TODO Add support for Port,no
1751,Tomcat project,// Version 1 (RFC2965) attributes // TODO Add support for CommentURL // Discard - implied by maxAge <0 // TODO Add support for Port,no
1752,Tomcat project,"// we do it in a dedicated thread for memory leak protection, in // case some webapp code registers some ThreadLocals that they // forget to cleanup // TODO Figure out why DedicatedThreadExecutor hangs randomly in the // unit tests if used here",no
1753,Hadoop project,// we have no idea what the error is... FileUtils masks it and in // some cases won't even report an error,no
1754,Camel project,"// we need to fix if the interceptor should only trigger based on a predicate // as the regular interceptor will prepare the route ""reverse"" we gotta move // from this output to the otherwise output",no
1755,Camel project,// We should probably come up with another property for this,no
1756,Tomcat project,"// We wrap everything in a model mbean. // XXX need to support ""StandardMBeanDescriptorsSource""",no
1757,Tomcat project,"// Web Server only sends data when asked so unless end of stream has // been reached, there should be data available. // TODO Figure out if a 'true' non-blocking approach is possible // for AJP and what changes would be required to support it.",no
1758,Tomcat project,"// When building up the InstructionList, BCEL has already done all those checks // mentioned in The Java Virtual Machine Specification, Second Edition, as // ""static constraints on the operands of instructions in the code array"". // TODO: see the do_verify() comments. Maybe we should really work on the // byte array first to give more comprehensive messages. // TODO: Review Exception API, possibly build in some ""offending instruction"" thing // when we're ready to insulate the offending instruction by doing the // above thing.",no
1759,Camel project,"// when using doTry .. doCatch .. doFinally we should always // end the try definition to avoid having to use 2 x end() in the route // this is counter intuitive for end users // TODO (camel-3.0): this should be done inside of TryDefinition or even better // in Block(s) in general, but the api needs to be revisited for that.",yes
1760,Tomcat project,// Workaround for a&b&c encoding,no
1761,Tomcat project,// Workaround for a&b&c encoding,no
1762,Tomcat project,// Workaround for Adobe Read 9 plug-in on IE bug // Can be removed after 26 June 2013 (EOL of Reader 9) // See BZ 53814,yes
1763,Tomcat project,"// Workaround for certain files on platforms that use // EBCDIC encoding, when they are read through FileInputStream. // See commit message of rev.303915 for details // http://svn.apache.org/viewvc?view=revision&revision=303915",no
1764,Tomcat project,"// Workaround for certain files on platforms that use // EBCDIC encoding, when they are read through FileInputStream. // See commit message of rev.303915 for details // http://svn.apache.org/viewvc?view=revision&revision=303915",no
1765,Hadoop project,// Workaround for HADOOP-6386,yes
1766,Tomcat project,// workaround for JDK1.1.8/solaris,yes
1767,Tomcat project,// Workaround for the J2SE 1.4.x classloading problem (under Solaris). // Class.forName(..) fails without creating class using new. // This is an ugly workaround.,yes
1768,Camel project,// workaround issue in CXF that is causing these to go through // sax instead of stax. Fixed in 2.4.4/2.5.,yes
1769,Log4j project,"// writing directly the Class object would be nicer, except that // serialized a Class object can not be read back by JDK // 1.1.x. We have to resort to this hack instead.",no
1770,Log4j project,"// writing the Class would be nicer, except that serialized // classed can not be read back by JDK 1.1.x. We have to resort // to this hack instead.",no
1771,Tomcat project,// XXX // isn't this really an IllegalArgumentException?,no
1772,Tomcat project,"// XXX // may need to handle ""*"" at some point in time",no
1773,Tomcat project,// XXX // the trims here are a *hack* -- this should // be more properly fixed to be spec compliant,no
1774,Tomcat project,// XXX Cleanup ?,no
1775,Tomcat project,// XXX Convert !!,no
1776,Tomcat project,// XXX could move this logic to JspReader // XXX somewhat wasteful,no
1777,Tomcat project,"// XXX customize no often than ( based on standard descriptor ), etc. // It doesn't work very well if we call this on each set att - // the triger will work for the first att, but all others will be delayed",no
1778,Hadoop project,// XXX don't know what the file is?,no
1779,Hadoop project,// XXX don't know what the file is?,no
1780,Tomcat project,"// XXX ENCODING - this only works if encoding is UTF8-compat // ( ok for tomcat, where we compare ascii - header names, etc )!!!",no
1781,Tomcat project,// XXX ESC replacement hack,no
1782,Tomcat project,// XXX FIXME // resolveRelativeUri and/or getResourceAsStream don't seem to properly // handle relative paths when dealing when home and getDocBase are set // the following is a workaround until these problems are resolved.,no
1783,Tomcat project,"// XXX If the length in the packet header doesn't agree with the // actual number of bytes read, it should probably return an error // value. Also, callers of this method never use the length // returned -- should probably return true/false instead.",no
1784,Tomcat project,// XXX maybe install the jni lib in apr-home ?,no
1785,Tomcat project,// XXX Move to util package,no
1786,Tomcat project,// XXX Move to util package,no
1787,Tomcat project,// XXX Need a better solution - to avoid the static,no
1788,Tomcat project,// XXX Need to determine what if/how static mappings are done,no
1789,Tomcat project,// XXX need to extract info about previously loaded beans,no
1790,Tomcat project,// XXX Not very clean... Just a workaround,no
1791,Tomcat project,"// XXX Old code, needs to be replaced !!!! //",no
1792,Tomcat project,// XXX remove from our tables.,no
1793,Tomcat project,// XXX replace it with a byte[] tool,no
1794,Tomcat project,// XXX Reverse it -> this is a notification generator !!,no
1795,Tomcat project,// XXX Reverse it -> this is a notification generator !!,no
